id,title,thumbnail,short_description,game_url,genre,platform,publisher,developer,release_date,profile_url
88,Shadowverse,https://www.mmobomb.com/g/88/thumbnail.jpg,"From the creators of Rage of Bahamut and Granblue Fantasy comes the hit free-to-play CCG from Japan, Shadowverse.",https://www.mmobomb.com/open/shadowverse,Card Game,PC (Windows),"Cygames, Inc.","Cygames, Inc.",2016-10-28,https://www.mmobomb.com/shadowverse
89,AdventureQuest 3D,https://www.mmobomb.com/g/89/thumbnail.jpg,"AdventureQuest 3D is Artix Entertainment's free-to-play follow-up to AdventureQuest Worlds, offering a fantastic MMORPG experience across multiple platforms.",https://www.mmobomb.com/open/adventurequest-3d,MMORPG,PC (Windows),Artix Entertainment,Artix Entertainment,2016-10-19,https://www.mmobomb.com/adventurequest-3d
93,Riding Club Championships,https://www.mmobomb.com/g/93/thumbnail.jpg,"Compete in equestrian events against players from around the world in Riding Club Championships, an online free-to-play horse racing game from Artplant. Participate in show jumping, barrel racing, pole bending, agility and jump agility alone or against friends.",https://www.mmobomb.com/open/riding-club-championships,Racing,PC (Windows),Artplant,Artplant,2016-09-27,https://www.mmobomb.com/riding-club-championships
94,Battlerite,https://www.mmobomb.com/g/94/thumbnail.jpg,"From the same dev team that brought you Bloodline Champions comes Battlerite, a free-to-play MOBA with a cast of colorful characters and a focus on skill-based gameplay. With a focus on short matches and fast action, Battlerite plays at a frenetic pace and offers spectator mode so you can cheer on your favorite players.",https://www.mmobomb.com/open/battlerite,MOBA,PC (Windows),Stunlock Studios,Stunlock Studios,2016-09-21,https://www.mmobomb.com/battlerite
95,Paladins,https://www.mmobomb.com/g/95/thumbnail.jpg,Paladins: Champions of the Realm has a gameplay style similar to games like Overwatch or Battleborn.,https://www.mmobomb.com/open/paladins,Shooter,PC (Windows),Hi-Rez Studios,Hi-Rez Studios,2016-09-16,https://www.mmobomb.com/paladins
344,Omega Zodiac,https://www.mmobomb.com/g/344/thumbnail.jpg,"Fight for the goddess Athena and earn amazing rewards in Omega Zodiac, a free-to-play browser-based action MMORPG from Proficient City and Game Hollywood. Choose one of three classes: the melee knight, the nimble archer, or the arcane mage, each with its own play style and special powers.",https://www.mmobomb.com/open/omega-zodiac,MMORPG,Web Browser,Proficient City,Game Hollywood,2016-08-25,https://www.mmobomb.com/omega-zodiac
106,Riders of Icarus,https://www.mmobomb.com/g/106/thumbnail.jpg,"Master fantastic beasts and engage in daring three-dimensional aerial combat in Riders of Icarus, a free-to-play MMORPG from WeMade Entertainment and Nexon! Explore a lushly developed virtual fantasy world from the ground and from the skies, and join other heroes in the fight against evil.",https://www.mmobomb.com/open/riders-of-icarus,MMORPG,PC (Windows),VALOFE,WeMade,2016-07-06,https://www.mmobomb.com/riders-of-icarus
365,Naruto Online,https://www.mmobomb.com/g/365/thumbnail.jpg,"Relive your favorite moments from Naruto in Naruto online, a free-to-play browser-based MMORPG officially licensed by Bandai and based on the storyline of the anime. Play as one of the anime's popular characters, such as Naruto Umuzaki or Sakura Haruno -- voiced by their anime actors -- to relive the anime or choose one of five characters representing the element of earth, water, fire, wind, or lightning and embark on your own adventures!",https://www.mmobomb.com/open/naruto-online,MMORPG,Web Browser,OAS Games,Bandai Namco,2016-07-20,https://www.mmobomb.com/naruto-online
108,Zula,https://www.mmobomb.com/g/108/thumbnail.jpg,"Travel to exotic locales and battle across 10 different maps in Zula, a free-to-play shooter by Madbyte Games and IDC Games. Join up with the Zula, a vigilante group, or Gladyo, a paramilitary organization.",https://www.mmobomb.com/open/zula,Shooter,PC (Windows),IDC/Games,IDC/Games,2016-06-23,https://www.mmobomb.com/zula
109,LuckCatchers,https://www.mmobomb.com/g/109/thumbnail.jpg,"Embark on a grand and sweeping adventure in the skies with LuckCatchers, a free-to-play ""social-economic sandbox RPG"" from DiP Online. Construct your own settlements and exploit the land for profit, and hire on other players to work for you.",https://www.mmobomb.com/open/luckcatchers,MMORPG,PC (Windows),DiP Online,DiP Online,2016-06-15,https://www.mmobomb.com/luckcatchers
110,UFO Online: Invasion,https://www.mmobomb.com/g/110/thumbnail.jpg,"Face down hordes of bloodthirsty aliens -- and fellow humans fighting for survival -- in turn-based tactical combat with Bad Pixel's UFO Online: Invasion. In the near future, aliens attacked Earth and a deadly virus decimated the human population.",https://www.mmobomb.com/open/ufo-online-invasion,MMORPG,PC (Windows),Bad Pixel,Bad Pixel,2016-06-08,https://www.mmobomb.com/ufo-online-invasion
112,Weapons Of Mythology,https://www.mmobomb.com/g/112/thumbnail.jpg,"Claim your relic and fight against the powers of darkness in Weapons of Mythology -- New Age, a free-to-play MMORPG that draws inspiration from Chinese myth and legend. Two factions fight for control of the ultimate relic, while a third seeks to destroy everything in its path.",https://www.mmobomb.com/open/weapons-of-mythology,MMORPG,PC (Windows),IDC/Games,Gamemag,2016-06-07,https://www.mmobomb.com/weapons-of-mythology
116,Tree of Savior,https://www.mmobomb.com/g/116/thumbnail.jpg,Tree of Savior is a vividly designed MMORPG with lush graphics and a surprisingly deep combat system that challenges players to come up with new strategies on the fly. Tree of Savior's diverse character classes -- 80 in total -- and their various job advancements guarantee that you'll find something you like to play.,https://www.mmobomb.com/open/tree-of-savior,MMORPG,PC (Windows),IMC Games,IMC Games,2016-05-10,https://www.mmobomb.com/tree-of-savior
118,Starbreak,https://www.mmobomb.com/g/118/thumbnail.jpg,"Set in the distant future, when humanity is on the brink of extinction, StarBreak is a free-to-play platformer MMO with loads of exploration and fast-paced combat. Choose your class and follow your allies into combat in confusing mazes that are different every time you play, but watch out -- a boss lurks at the end of these zones, and if you die, you'll have to start completely over!",https://www.mmobomb.com/open/starbreak,MMORPG,"PC (Windows), Web Browser",Crunchy Games,Crunchy Games,2016-05-10,https://www.mmobomb.com/starbreak
119,Fantasy Tales Online,https://www.mmobomb.com/g/119/thumbnail.jpg,"Fantasy Tales Online is a charming 2D free-to-play MMORPG that hearkens back to the classic days of console RPGs, while including the social elements of modern MMOs. There are thousands of ways to build your character and a wide range of powers to master, so you can most efficiently beat down the monsters and collect their loot!",https://www.mmobomb.com/open/fantasy-tales-online,MMORPG,PC (Windows),Cold Tea Studio,Cold Tea Studio,2016-05-06,https://www.mmobomb.com/fantasy-tales-online
370,Dragon Blood,https://www.mmobomb.com/g/370/thumbnail.jpg,"Rise again to fight evil in 101XP's Dragon Blood, an epic browser-based free-to-play MMORPG that puts the power of dragons under your control! Awaken your inner dragon and fight epic battles against the forces of evil in a game that features deep character customization and loads of content.",https://www.mmobomb.com/open/dragon-blood,MMORPG,Web Browser,101XP,101XP,2016-04-16,https://www.mmobomb.com/dragon-blood
371,League of Angels 2,https://www.mmobomb.com/g/371/thumbnail.jpg,"Embark on an epic quest to save the planet of Sapphire in League of Angels 2 (LoA2), the free-to-play browser-based MMORPG sequel to one of the most popular games of the past several years. Recruit your team of angels to fight against demonic beasts and their vile masters in a gorgeously rendered fantasy world.",https://www.mmobomb.com/open/league-angels-2,MMORPG,Web Browser,GTArcade,GTArcade,2016-04-06,https://www.mmobomb.com/league-angels-2
117,Astral Heroes,https://www.mmobomb.com/g/117/thumbnail.jpg,"Astral Heroes is a free-to-play collectible card game that offers some unique twists and variations on the classic CCG formula. The follow-up to Apus Software's Astral Masters, Astral Heroes offers many different game modes, including a PvE campaign, draft tournaments, and random deck matchups, as well as the ability to track your progress on leaderboards to see how you match up against other players from around the world.",https://www.mmobomb.com/open/astral-heroes,Card Game,PC (Windows),Apus Software,Apus Software,2016-03-15,https://www.mmobomb.com/astral-heroes
124,Holodrive,https://www.mmobomb.com/g/124/thumbnail.jpg,"Blast some robotic butt in Holodrive, a free-to-play 2D shooter from BitCake Studio and Versus Evil. The Holocorp ""Dummy"" robots were designed to be man's new best friend, but they instead became murderous machines looking only to blow each other up -- and look good doing it.",https://www.mmobomb.com/open/holodrive,Shooter,PC (Windows),Versus Evil,BitCake Studio,2016-03-24,https://www.mmobomb.com/holodrive
304,Cabal Online,https://www.mmobomb.com/g/304/thumbnail.jpg,"Cabal Online is a free 3d Fantasy MMORPG (Massively multiplayer online role playing game) with fast paced combat system and awesome graphics, that takes place in the world of Nevareth. The game provides quite good options, with features that include a unique combo system, timed and group dungeons, spectacular animations, and massive player versus player nation wars.",https://www.mmobomb.com/open/cabal-online,MMORPG,PC (Windows),ESTsoft,ESTsoft,2016-02-17,https://www.mmobomb.com/cabal-online
125,Atom Universe,https://www.mmobomb.com/g/125/thumbnail.jpg,"Live another life in Atom Universe, a free-to-play social virtual world from Atom Republic that has lots of fun activities and places to explore, alone or with friends. You can play in the Minikart Race or the Shooting Gallery, or try your hand at some Motor Stunts.",https://www.mmobomb.com/open/atom-universe,Social,PC (Windows),Atom Republic,Atom Republic,2016-02-27,https://www.mmobomb.com/atom-universe
